PPFL_GEL

THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED

LIST OF INSURED POLICIES

Update as of  4-May-26

Policies which are eligible for Policy Owners' Protection Scheme protection under the Deposit Insurance and Policies Owners' Protection Schemes Act 2011.

(Refer to 2nd schedule of the Act for the types of policies under each category)

2  16 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS MAXEDU CHOICE

2  16 YEARS MAXEDU GOAL

2  16 YEARS MAXTERM

2  16 YEARS MAXTERM - CONVERTIBLE

2  16 YEARS MAXTERM - LEVEL

2  16 YEARS MAXTERM (CI)

2  16 YEARS MAXTERM ENHANCED

2  16 YEARS MAXTERM ENHANCED(CI)

2  16 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  16 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  16 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  16 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  16 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  16 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS
2  16 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  17 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  17 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  17 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS MAXEDU CHOICE

2  17 YEARS MAXEDU GOAL

2  17 YEARS MAXTERM

2  17 YEARS MAXTERM - CONVERTIBLE

2  17 YEARS MAXTERM - LEVEL

2  17 YEARS MAXTERM (CI)

2  17 YEARS MAXTERM ENHANCED

2  17 YEARS MAXTERM ENHANCED(CI)

2  17 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  17 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  17 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  17 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  17 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  17 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  17 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  17 YR FREQUENT CASH BACK ENDMT

2  18 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

2  18 YEARS DIAMOND SAVER'S SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS ENHANCED INVESTMENT PLAN WITH COMPOUND REVERSIONARY BONUS & DREAD DISEASE BENEFITS

2  18 YEARS JUNIOR EDUCARE SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS JUNIOR EDUCARE WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS MAXEDU CHOICE

2  18 YEARS MAXEDU GOAL

2  18 YEARS MAXTERM

2  18 YEARS MAXTERM - CONVERTIBLE

2  18 YEARS MAXTERM - LEVEL
2  18 YEARS MAXTERM (CI)

2  18 YEARS MAXTERM ENHANCED

2  18 YEARS MAXTERM ENHANCED(CI)

2  18 YEARS OCBC-OAC MORTGAGE PROTECTOR (BASIC)

2  18 YEARS OCBC-OAC MORTGAGE PROTECTOR (PREMIUM)

2  18 YEARS PREMIER ANTICIPATED ENDOWMENT SPECIAL WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS PREMIER CONVERTIBLE TERM ASSURANCE WITHOUT PROFITS

2  18 YEARS PREMIER DIAMOND INVESTMENT WITH PROFITS

2  18 YEARS PREMIER DIAMOND SAVER WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS PREMIER ENHANCED INVESTMENT PLUS WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS PREMIER ENHANCED INVESTMENT WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS PREMIER TERM ASSURANCE WITHOUT PROFITS

2  18 YEARS SUPER ANTICIPATED ENDOWMENT SPECIAL PLUS WITH COMPOUND REVERSIONARY BONUS

2  18 YEARS TERM ASSURANCE (NON-PARTICIPATING) WITH LIVING ASSURANCE BENEFIT

2  18 YR FREQ CASH BACK ENDMT (PUP)

2  18 YR FREQUENT CASH BACK ENDMT

2  19 YEARS DIAMOND INVESTMENT SPECIAL WITH PROFITS

